Participant_number,Session_number,DDA_Type,Valence,Arousal,Dominance,MEA_1,CH_1,EC_3,CUR_1,CH_3,ENJ_1,AUT_3,ENJ_2,GR_1,EC_1,PF_1,AUT_2,EC_2,PF_2,CUR_2,PF_3,MEA_3,MAS_1,AUT_1,AA_2,AA_3,IMM_2,CUR_3,CH_2,MEA_2,MAS_3,IMM_3,MAS_2,IMM_1,AA_1,GR_3,ENJ_3,GR_2
p2,1,0,6,3,3,-1,2,2,-2,2,2,-2,1,3,2,1,1,2,1,0,-1,1,-1,-2,0,0,-1,1,2,2,1,1,-1,1,1,3,1,-1
p2,2,2,5,6,2,0,2,2,-1,2,2,-1,2,3,3,2,1,3,1,1,-1,2,-1,-1,1,1,2,1,2,0,2,2,-1,1,1,3,1,1
p2,3,1,5,5,2,0,2,2,-1,2,2,-1,2,3,3,1,-1,3,1,-1,-1,1,-1,-1,1,1,2,1,3,0,1,3,1,1,1,3,1,1
p2,4,3,5,4,3,0,3,3,-1,3,1,-1,2,3,3,1,1,3,1,1,-1,1,1,0,1,1,3,1,3,1,2,3,2,1,2,3,1,1
p3,1,2,6,6,3,2,1,2,1,-1,2,2,3,3,3,2,2,3,2,2,2,2,-2,2,2,2,3,2,2,2,2,3,-1,2,2,2,2,3
p3,2,0,7,7,5,2,1,2,2,1,2,2,2,3,3,1,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,3,2,3,2,3
p3,3,3,7,7,7,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,2,3,3,3,3,3,2,3,3,3
p3,4,1,6,7,2,2,-1,3,2,0,3,3,2,3,3,3,3,3,3,2,3,3,-1,3,2,2,3,2,0,2,3,3,1,3,2,3,3,3
p4,1,2,5,5,2,-1,1,1,-1,2,1,1,-1,-1,1,-1,2,2,1,1,-1,0,-1,2,-1,-1,1,1,2,0,1,1,0,1,0,0,1,2
p4,2,3,5,4,6,0,2,1,1,2,1,2,1,1,2,0,1,2,1,1,0,0,1,1,-1,-1,1,1,2,0,2,1,1,1,-1,1,0,2
