birth_year,gender,MEA_1,MEA_2,MEA_3,MAS_1,MAS_2,MAS_3,IMM_1,IMM_2,IMM_3,AUT_1,AUT_2,AUT_3,CUR_1,CUR_2,CUR_3,EC_1,EC_2,EC_3,CH_1,CH_2,CH_3,PF_1,PF_2,PF_3,AA_1,AA_2,AA_3,GR_1,GR_2,GR_3,ENJ_1,ENJ_2,ENJ_3
2003,m,0,1,1,1,2,2,1,3,3,0,1,-1,-1,1,1,3,3,3,3,3,3,1,1,-1,2,1,1,3,1,3,1,2,1
2001,m,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3
2003,f,0,0,0,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,0,1,0,-1,-1,-1,1,2,1,1,1,0
2000,m,-1,-1,1,1,1,-2,-2,1,1,2,3,3,2,-2,-2,3,3,2,-2,-1,1,3,3,2,2,3,2,3,2,3,2,2,2
2002,f,3,3,3,1,1,3,2,3,3,2,3,2,3,3,3,3,3,3,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3
2002,m,2,1,1,2,2,2,1,2,2,-2,-2,-2,1,1,2,3,3,2,1,1,1,3,3,1,-1,1,1,3,2,1,1,1,1
1999,m,-2,-2,-2,2,2,2,-2,-2,-1,-2,-2,-2,-2,-2,-2,3,3,3,-3,1,-2,1,3,1,-2,-2,-2,3,2,2,-2,-2,-2
2003,m,0,1,1,0,0,2,1,2,1,0,0,0,0,1,1,2,2,1,-2,-1,1,1,1,1,1,1,0,0,1,1,2,1,2
2003,m,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,3,3,2,2,2,3,3,2,1,2,2,2,1,1,-1,2,2,2
2005,m,-1,0,1,-2,-1,-1,1,2,2,2,1,1,1,2,1,2,2,-1,2,1,2,-1,1,-1,1,1,1,2,1,2,2,1,1
2003,m,2,2,2,3,2,2,1,3,3,2,2,2,2,3,3,2,3,3,-2,-2,3,2,3,3,0,-1,2,3,3,3,2,2,3
1993,m,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,0,1,2,2,2,2,2,3,2,2,2,2
2002,f,2,1,1,1,1,2,1,2,2,-2,-2,-1,1,-1,0,3,3,2,3,1,2,-1,1,-2,0,1,0,3,3,3,2,1,1
2004,m,-2,-1,0,0,1,1,1,1,0,2,2,2,-1,0,-2,3,3,2,-1,-1,2,0,1,-2,2,2,0,2,2,3,-1,-1,1
1998,m,-3,-3,-3,-2,2,2,3,3,3,0,1,-1,2,2,3,3,3,2,-2,1,-2,-3,-3,-3,-3,-3,-3,3,3,3,3,3,3
1997,m,1,1,2,2,2,1,2,2,2,2,1,1,1,2,-1,2,3,3,2,0,2,2,2,1,1,1,1,3,0,1,2,1,1
2000,f,2,1,2,3,3,2,2,2,3,3,2,3,2,2,2,3,3,3,1,-1,2,1,3,1,1,3,3,2,2,2,3,3,2
2002,f,2,1,2,2,2,2,2,2,2,2,2,2,1,1,0,2,3,2,2,2,2,-1,-1,-1,2,3,2,3,2,2,2,2,2
2003,f,2,2,2,2,2,2,2,3,3,2,2,2,1,2,2,2,3,3,2,1,1,1,2,0,3,3,3,2,3,2,2,1,2
1999,f,1,2,1,0,1,2,0,1,0,0,1,1,2,2,2,3,2,1,2,1,3,1,1,-1,2,2,2,2,2,2,2,1,1
2004,m,1,0,-3,3,3,3,2,-2,-1,3,3,3,-2,-1,0,3,3,3,-2,-2,-2,2,3,3,-2,-2,-3,3,3,3,1,-2,1
2003,m,0,0,0,1,1,1,2,2,2,0,0,-1,0,-1,1,2,2,1,0,-1,0,1,1,1,0,0,0,2,1,1,1,0,0
2003,m,2,2,2,3,1,3,1,2,2,2,2,2,1,2,1,1,2,3,2,2,2,1,2,1,-1,-1,-1,1,1,1,2,2,2
1995,f,1,2,1,2,2,2,2,2,2,1,1,1,-1,1,1,1,2,2,1,2,0,1,1,1,-2,-1,-2,1,2,2,1,1,0
1998,m,1,2,2,0,2,1,2,2,2,0,2,-1,2,2,2,2,2,1,-2,2,2,0,-1,-1,2,2,1,2,2,2,2,2,2
2003,f,2,3,3,1,2,2,3,3,3,-1,-1,1,3,3,3,1,2,1,3,1,2,-2,-1,-1,1,1,1,0,0,-1,3,3,3
2003,m,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,3,2,1,1,1,1,0,2,0,1,2,0,3,2,2,2,3,2
2005,m,2,1,1,2,2,3,1,2,2,2,2,2,2,1,1,3,2,2,1,0,1,2,2,2,2,2,2,2,3,3,2,3,2
2000,f,1,0,0,0,2,2,2,2,2,1,2,1,1,2,2,3,2,1,1,1,1,2,2,2,2,2,2,3,2,2,1,1,1
1989,m,1,1,1,1,1,2,2,2,2,2,2,2,0,2,1,2,2,2,1,0,0,-1,0,-1,1,1,1,2,2,2,1,2,2
2004,m,-1,2,-3,3,3,2,3,3,3,-2,-2,0,-1,-2,-1,3,2,2,-2,-3,-2,1,1,-1,-1,-1,-1,-2,0,-1,-2,-1,-1
1996,m,2,2,2,3,3,3,1,1,1,3,3,2,1,1,1,3,3,3,1,0,1,2,2,3,2,2,2,2,3,3,2,2,2
1992,f,-1,0,0,-1,-1,-1,1,-1,-1,-2,-2,-2,1,1,-1,1,1,-2,-2,-2,-2,1,0,-2,1,1,1,1,1,1,-2,-2,-1
2000,f,-1,-1,0,1,-1,-1,1,2,2,-2,-1,-2,-1,-2,-2,3,3,3,2,2,2,-1,-1,-1,2,2,2,3,3,3,2,2,1
